	text	class
0	ты начинаешь злиться а я улыбаюсь я счастлива   но ты расстроен ну солнце не злись   ты самый лучший и любимый 	1
1	  но димон же зол на него  поэтому стоит увидеть мордобой   	1
2	вроде на улице зима  а до меня это еще не доходит  	1
3	сел короче проверить мозги после нг  пробный егэ по физике  не решённые задания это не пройденные темы  кроме а    	0
4	место того чтоб учить  я слушаю музыку  класс  	0
5	ахаха не знаю как вы но я сегодня рисовала первый раз    	1
6	    я могу и взяться   	1
7	ну в принцепи всё происходит довольно таки миленько 	1
8	вот и кончились каникулы    и начился печальный сезон длинной   четверти   	0
9	что делать  если хочется спать  а спать нельзя                кажется  все способы уже перепробовала  	0
10	я обажаю своего малого он еще пока неразборчиво говорит но слово   putain   он говорит так отчётливо родители жалуются что это я его научил 	1
11	я не могу колено болиит   и как домой пойду вообще хз говножиизнь  	0
12	дана и уля не пришли в школу заболели очень скучно без них     выздоравлювайте	0
13	     это было так мило d ахахаха	1
14	нужна ли тебе ёлка на новый год    конечно же  	1
15	зато своими руками  спасибо  малышка      my house 	1
16	 хаха  да шути шути  съем тебя последней 	1
17	 чето у нас с тобой так не вышло сделать   	1
18	купила  блять  капельки на свою голову  да такие  шо от их вкуса хочется умереть даже больше  чем от вкуса капель для головы моей  	0
19	   и только сейчас доходит что моя киска уходит    хнык кто же будет говорить  махааева прекрати че за бреед а может ну нахууй…	0
20	    me нарядилась в передник и косынку и ушла хлопотать по хозяйству   	0
21	сейчас буду смотреть самую самую последнюю серию мисфитс       	0
22	смотрю ледниковый период   и самый печальный момент про семью мэни  	0
23	 да я такой барцуха   барцуха   он такой не типа и я   кароч повалил его и за подмыхи ухватился чтоб поднять       аза	1
24	   новогодняя w рождественская вечеринка с сотрудниками будет   декабря o o такие дела 	0
25	 а вы лепш за многіх прафэсійных журналістаў асьвятляеце майдан  і з гумарам 	1
26	строительной площадке  с просьбой предоставить информацию  параметры е	1
27	как найти англофанфик  почему я его не знаю    не сохранила и даже не лайкнула тогда тт	0
28	на рисурсе упячка аффтар аццкий сотона аццкей       ru ff  ff ru  followback	1
29	    ну лев николаевич 	0
30	   терь понятно чем кайки в том кабинете занимался d	1
31	даже   по английскому в этой четверти не выходит  ну как так то    	0
32	 да просто гуляли решили до экономии сходить ли 	1
33	 бедная   ты же сегодня опять идешь к стоматологу 	0
34	   рядом с анатомичкой мое сердце начинает биться быстрее  d	1
35	умирааю     володя досижу ленту и съебусь домой  	1
36	бля ussd запросы не работают с турбосим на  ос   	0
37	 все отлично  твитов правда мало было	1
38	 воспоминания    года этим летом я ни разу не ездил на речку или на море 	0
39	 как это на что  я тебе пересылалаа 	1
40	кран на кухне починен  система слива пока еще нуждается в корренной замене 	0
41	залил пивом клаву у ноута    что делат  кстати  мягкий знак тепер не работает   	1
42	   хочу вечер кино  надо бы поискать что посмотреть  	1
43	о неет  сомнения что я не ту специальность выбрала едаа где еда моя слабость   какие лекарства  это не мое о боже              	0
44	вот так я записана у лучшей подруги  и пофиг  что зовут меня юлей   а так она меня лююбит … 	1
45	на улице жара  солнце    а я болею  и как только я умудрился  	0
46	я здесь был  если нужен будет хостел в казани  советую этот    зебра 	1
47	“   пхаха папы есть папы ”хаха дада   	1
48	 без мягкого  просто   песни  и ещё гумом называется 	1
49	  мне вчера дома в свитере и под двумя пледами было жарко   чувствую надо в магазин за кучей тееплых вещей   	1
50	   один из слушателей сегодняшнего послания путина все таки не выдержал    facepalm  послание 	1
51	 о молодец я неправильно сказала ее да  	0
52	    короче  ты уже большая  всего тебе хорошего и побольше   с днем рождения короче  	1
53	а родители уже достали елкуони хотят без меня ее наряжать       н	0
54	что было во второй серии шерлока  я пропустилаа ее      	0
55	пишу реферат про ученого который хотел быть похоронен рядом с женой  а в итоге власти решили сохранить его прах в стене московского кремля  	0
56	сейчас я в кимрах  у тети  здесь всего   ди ей  все уже разошлись  остались   ое ди ей и   взрослых  я устала и хочу спать   	0
57	у всех пиздатый твиты  а меня  у одной про больницу   	0
58	 мы не будем есть лебедей на торте мы возьмем их в руки и понесем домой   но они же замерзнут   мимими  молодожены  свадьба	0
59	 короче будут у меня хунханы    	1
60	гримируем сону  все в косплеях а я делаю сам себя    	1
61	   выздоравливай   	1
62	 аахах я всегда говорю серьезно  а с тобой на вы dd	1
63	 да про это вообще чо говорить  и так все понятно    мне смешно другое  так  бытовые мелочи х  	1
64	             ну   можно наверное найти на яндекс музыка 	1
65	 ну мой желудок не позволил мне выходить из номера две недели   	1
66	не видела его всего один день а такое чувство что неделю 	0
67	   действительно  несколько неожиданное развитие событий      	1
68	   лесби геи люди блять педофилы ска ахухаха наручники груповухи микки маусы о божее что я несу  d останови меня ахухаха	1
69	и опять я еду на учебу   заибись как  круто   o o	0
70	только еду с универа   замучилась очень  	0
71	   я напешу пробнек па рускаму  на пьять      	1
72	скоро наступит тот самый момент когда нам покажут диалог dd	1
73	атлетико не подведёт  а на самих надежды мало      аустрия зенит	0
74	может любовница  или это я любовник заведующей столовой   не  просто женщину типа   ой  а можно я покушать приеду    	1
75	 вообще все что зашло на нулях  деньги кончились у людей	0
76	   когда грустно или запарен чем то  хочется бесконечно стоять под душем  	1
77	прилетел в китай в игре deus ex  меня почти сходу лаоваем обозвали  уии 	1
