	class	excl	len	neg_em	neg_sm	pos_em	pos_sm	quest	text
0	1	0	9	0	0	0	0	0	это знакомо  такое мне кажется почти у всех бывает  кстати  вы решили в конкурсе не участвовать или не… 
1	1	0	13	0	0	0	1	0	 ахахха  некар мочит x dd  завтра будешь мне приятности говорить а сейчас иди спать тебя ждет постелька  мурр   
2	1	0	9	0	0	0	0	0	плюс ещё    минут крутила обруч  я заслужила чай с клубничным вареньицем    
3	1	0	6	0	0	0	1	0	на джуике не все умеют считать  а вы говорите сервис для гиков  
4	1	0	4	0	0	0	0	0	наконец то дом    работать на перспективу утомительно 
5	1	0	8	0	0	0	0	0	  пруха по дикому  надо завтра внимание обратить  сколько у него мазолей на руках 
6	1	0	6	0	0	0	0	0	совсем забыл  сегодня же ву с биланом   надеюсь не пропущу 
7	1	0	1	0	0	0	0	0	  на посмотри     
8	1	0	11	0	0	0	1	0	моя  сестренка бьет ногой по полу в такт песне    slipknot  psychosocial       месяцев  а уже разбирается в музыке   
9	1	0	12	0	0	0	0	0	 я не могла сказать тебе раньше   ибо я великий злодей  который любит молчать о таких делах   
10	1	0	3	0	0	0	0	1	 что ж у тебя за комп то такой  где всё вылетает  
11	1	0	8	0	0	0	0	0	доброе утро  удачного и продуктивного дня   и легкой рабочей недели   
12	1	0	8	0	0	0	0	0	такое классное чувство когда маленький ребенок засыпает ну твоих руках 
13	1	0	5	0	0	0	0	0	любовь     это когда он хочет танцевать только с тобой   хах   
14	1	0	8	0	0	0	0	0	   секрет успеха  главное быть в нужное время  в нужном месте и     при бабках    
15	1	0	9	0	0	0	0	1	 на рынке    почем огурцы    по шестьдесят    засунь себе их в ж пу    не могу  там уже помидоры по восемьдесят 
16	1	0	5	0	0	0	1	1	 куда твиттер прописал  спам посыпался прям от тебя    
17	1	0	11	0	0	0	0	0	мне уже подарили подарок на нг  а завтра еду покупать подарок на николая  типичные родители  ахахах
18	1	0	11	0	0	0	1	0	дамы  предлагаю наметить что нибудь подобное на первые числа января     insta size  party  drunk 
19	1	0	6	0	0	0	2	0	    во тьме ночной  при свете дня  пальцы отниму я у тебя  d
20	1	0	6	0	0	0	2	0	    химия это зло с да съемки нг огонька еду  
21	1	0	15	0	0	0	1	0	доброе утро всем  замечательное начало замечательного дня   лег mysql сервер неолабсов    видимо вчерашние перебои со све
22	1	0	6	0	0	0	0	0	   яндекс от контакта не отстает кнопка   наверх   появилась 
23	1	2	12	0	0	0	1	0	доброго утра  мои любимые френды  отличного всем настроя и воплощения безумных мыслей в жизнь    
24	1	0	4	0	0	0	0	1	 а какой отчет нужен  просто все работает   
25	1	0	9	0	0	0	1	0	 в россии есть древняя традиция  после пьянки отдавать пакет с мусором последнему уходящему      
26	1	0	4	0	0	0	0	0	   а точно   можно пойти кушать и смотреть    
27	1	0	4	0	0	0	1	1	 а ты мне не вспомнишь название отельчика в барсе    
28	1	0	4	0	0	0	1	0	 ты была права пересмотрела я свои острова  
29	1	0	5	0	0	0	0	0	 клёво тебе  а мне тыквенная каша на ужин 
30	1	0	3	0	0	0	1	1	мда  где бы его еще купить  если скачать уже нельзя   
31	1	0	7	0	0	0	0	0	 ну ты крутая    мы там останавливались бывало  когда на гулянки в гилфорд приезжали со школы
32	1	2	9	0	0	0	0	0	спок ночи  тви  за неделю оч устал  завтра отосплюсь и вернусь     
33	1	0	14	0	0	0	1	0	давно хотел себе первый сабж  но настраивать его не улыбается  скачал второй сабж стэк для первого сабжа     ставлю  сейч
34	1	0	5	0	0	0	1	0	ае  мама забыла про собрание и не сходила на него   
35	1	0	6	0	0	0	0	0	 еще забавно как морды в зале понимающе кивают высказываниям  
36	1	0	4	0	0	0	1	0	 ахаха я просто с   вечера до       спала  d
37	1	0	4	0	0	0	0	0	студклуб такой студклуб      куку  студклуб 
38	1	0	1	0	0	0	2	0	     точнее во всех  
39	1	2	8	0	0	0	0	0	 ого  спасибо  и тебе желаю встретить его самым лучшим образом    
40	1	0	8	0	0	0	1	0	    да я эту тоже редко последние время ношу сегодня как знала одела ахах   
41	1	0	4	0	0	0	1	0	 ну я прям и не знаю кому из вас верить    
42	1	0	5	0	0	0	1	1	захожу я вчера вк  и   сообщений  и все   это ты была на котке     d
43	1	0	12	0	0	0	1	0	 скажу одно  бесполезно                        не укор и не вина  просто констатация факта самого   улыбка это не крик кстати 
44	1	0	7	0	0	0	1	0	итак  предварительную проверку не прошли  господа  у вас есть   лет чтобы исправиться  
45	1	0	7	0	0	0	1	0	 миш  аполлоша не троллится этой темой  он обижается  я пробовала  но он запутинец   
46	1	0	2	0	0	0	0	0	 коряво  но от души  
47	1	0	7	0	0	0	1	1	 а если эти приклеенные нарощенные волосы носила нездоровая женщина или злая      
48	1	0	15	0	0	0	0	0	получил копию свидетельства о сдаче обучения вождения  которое я прошел   года назад  всё таки решился сдавать на права 
49	1	0	11	0	0	0	0	1	 на сря сложными словами объясняют что из слов можно сделать предложение а на срля что из предложений можно написать текст  
50	1	0	6	0	0	0	1	0	лол  не иду к директору  просто извинились и все  павизлооуу  d
51	1	0	4	0	0	0	0	4	   снося памятники они хотят быть прогрессивными     
52	1	0	6	0	0	0	1	0	бгыгы  я таки настроил это чудовище под названием гента   
53	1	0	12	0	0	0	2	1	 знал бы он с кем ты его сравнила  d йен и малосольный огурец   dd  happy birthday ian from russia
54	1	0	8	0	0	0	1	0	мечтаю о записи джинглов с голосом жириновского  бешенный успех и узнаваемость была бы   
55	1	0	5	0	0	0	0	0	за то  что я нашла несколько новых парашлюшек    paramoreнаультра
56	1	0	7	0	0	0	1	0	а гмыл молодцы что придумали кнопочку востановить  а тожмакнишь что ни попадя   
57	1	0	4	0	0	0	0	0	  последние два твита не связаны абсолютно 
58	1	1	10	0	0	0	2	1	 а почему бы и нет  d вот не сидела я в универе филфак которого возле кладбища  до половины девятого ночи  d
59	1	5	7	0	0	0	0	0	 лучи любви    потоки любви  моря и океаны любви    
60	1	0	4	0	0	0	1	0	  ну вообще то ты знаешь  просто ты не подозреваешь об это   
61	1	0	10	0	0	0	1	0	 у меня абонемент на бассейн закончился  на след неделе пойду куплю  если на визу все деньги не потрачу  
62	1	3	9	0	0	0	0	0	московским врачам сократят зарплату за неверные диагнозы     так в средние века делали   
63	1	0	1	0	0	0	0	0	   а вы боялись 
64	1	0	7	0	0	0	0	0	ну ладно там кукуруза  семечки  похлова  но чтобы голубцы на пляже это уж слишком   
65	1	0	9	0	0	0	0	1	сейчас сижу и думаю  если бы мне можно вернутся на года   назад что бы я изменила     и вот надумала я  что всё меня устраивает 
66	1	0	4	0	0	0	1	0	нет ничего лучше  чем помыть голову после выпускной прически  d
67	1	0	5	0	0	0	0	0	 ага  здесь толпа уже  ждем пока откроем 
68	1	0	11	0	0	0	0	0	   white wolf   скачай с другого сайта со всеми согласен фильм отличный и игра тоже хорошая  
69	1	0	6	0	0	0	1	0	 ахах ну спасибо  в школу с таким же зачесом приду  
70	1	0	5	0	0	0	1	0	  ну можешь в моих твиттерских фотках порыться  там много d
71	1	0	5	0	0	0	0	0	  без обид  но да  пиар такой  но у тебя правда внешность прикольная  
72	1	0	14	0	0	0	0	0	смотрю на него и рука не поднимается согнать со стола     котэ  персик  питомец  national cat day  котики  кот  моська 
73	1	0	12	0	0	0	0	0	 мама сказала либо весной либо летом в болгарию  его делали зато фотка лучше чем в паспорте рф  
74	1	0	6	0	0	0	2	0	    шоб тебя одеялом задавило  пушистый з сладких снов  
75	1	0	7	0	0	0	0	0	    любовь солома  сердце жар  одна минута и пожар  
76	1	0	4	0	0	0	0	1	 вьетнамска  блин  чего т не уверен  что есть   
77	1	0	12	0	0	0	1	0	сегодня не пойду никуда  дома слишком прекрасно  теплые тапочки  плед  горячий чай и sims    
78	1	0	5	0	0	0	1	0	сначала в   синегорию   а потом гуляли по проспекту d весело было
79	1	0	7	0	0	0	1	0	очень правильно  общайтесь чаще друг с другом в живую    
80	1	0	5	0	0	0	0	0	блага в жизни достаються тем  кто умеем мурлыкать      
81	1	0	4	0	0	0	0	0	моя любимая пятница  на которую ничего не делаешь  
82	1	0	3	0	0	0	1	0	мой первый френч   по мне так ужасно     
83	1	0	4	0	0	0	2	0	пришлии    правда еще не все что я заказывала но все равно    
84	1	1	5	0	0	0	0	0	обрадовала ребят   обожаю дарить подарки   
85	1	0	10	0	0	0	2	0	 свалила с одной лекции пью сок в студенческой столовой  на след пару пойду  
86	1	0	10	0	0	0	1	0	предлагаю щвейцарский закон   о подделках   распространить на весь ес  и тогда гнусмасу будет оочень пичалька   
87	1	0	13	0	0	0	0	0	после такой проделанной работы навык ксерокопирования поднялся гдет пунктов на пять   аня  ксерокс  геотектоника  новыйлвл  копирование
88	1	1	5	0	0	0	1	0	    не л ёд эт точно лучше пламя       
89	1	0	6	0	0	0	2	1	 я в следущем году в другую школку переведусь          ты после   не уходишь 
90	1	0	10	0	0	0	0	0	   теперь правительственный квартал  как и подобает зоне  находится под надежной охраной внутренних войск         євромайдан
91	1	0	6	0	0	0	0	0	еду в центр с симоной встречусь и ко мне на хату   
92	1	0	10	0	0	0	1	0	подпустила любимого к швейной машинке  асе объяснила  показала  комп на неделю чисто мой   
93	1	0	3	0	0	0	1	0	 я тоже так думаю   но они иного мнения   
94	1	0	12	0	0	0	1	0	 вроде как  проблем с данным сочетанием нет   я смотрел  ну  в крайнем случае  воткну этот ssd в рабочий комп  куплю другой   
95	1	0	3	0	0	0	1	0	     надо тебя сегодня от кого нибудь защитить   
96	1	0	7	0	0	0	1	2	а есть какой нить способ впихать свой кастомное цсс  или тока через угнича    
97	1	1	7	0	0	0	1	0	будем слушать боба марлю и отдыхать на кухне    завидуйтя 
98	1	0	3	0	0	0	0	0	шоколад повышает мне настроение    
99	1	0	5	0	0	0	1	0	пардон  ручная работа волонтёров sir          
100	1	0	6	0	0	0	1	0	 думаю  я буду спать  d все таки я не выспался и сейчас засну   
101	1	0	5	0	0	0	0	1	 а когда кажется  что делают  ну ка угадай ка 
102	1	0	8	0	0	0	0	0	а было ведь и такое высказывание в украине спасибо жителям донбасса за президента  ананаса   
103	1	1	7	0	0	0	0	0	 видно что в вечернем платье ты себя намного уютней чувствовала    ты молодец 
104	1	0	9	0	0	0	0	0	   скорее   зкспонат   там  руками не трогать    по всей видимости часть интерьера     …
105	1	0	11	0	0	0	1	0	меня само по себе прикалывает вместо точки писать тчк  dd  mtvstars    seconds to mars
106	1	0	8	0	0	0	1	0	 форэваэлонишка ищет компанию для предконцертных замерзаний возле скк     dd
107	1	0	5	0	0	0	0	0	в общем  селина не селина  а брюс  с яйцами    d 
108	1	0	11	0	0	0	0	0	 молодёжь во все времена разная   но всегда и везде прав тот кто светел   им и принадлежит будущее  а всё остальное   пена   
109	1	1	3	0	0	0	1	0	   панду геть      євромайдан 
110	1	0	4	0	0	0	0	0	 конечно же я лучше всех вышла кто б сомневался ахахха
111	1	0	5	0	0	0	0	0	   а к нам через плечо многие заглядывают не перепутать бы            
112	1	0	6	0	0	0	0	0	  теперь можешь разыграть этот ключ между людьми с американскими  дс   
113	1	0	9	0	0	0	0	0	ураа  все    а сзади принцессы  еще     их сложнее собирать тт потому что и др игрушки      животных… 
114	1	0	10	0	0	0	1	0	супер мега ведущий дает вау     мистик  балаково  гоугоу  негоугоу   mystique 
115	1	0	3	0	0	0	2	0	 мне был интересен этот результат     еще бы  прошел    
116	1	0	7	0	0	0	1	0	чупрова блять на далмата похожа вообще   с линтроп всех тут обсудили  d
117	1	0	6	0	0	0	0	0	   просыпаюсь утром смотрю   ванька моя проснулся раньше меня 
118	1	0	10	0	0	0	0	0	  валя врет  у меня на районе    и ветер  и туман еще сильный второй день  и дождь моросящий 
119	1	0	15	0	0	0	2	1	    болит нога  наступать больно   но мне пох я всё время за компом сижу dd чо делаешь   гениальный вопрос  …
120	1	0	0	0	0	0	1	0	 а у меня их много  d 
121	1	0	1	0	0	0	1	0	         приветы    
122	1	0	7	0	0	0	0	0	 думаю у всех такая картина в голове  что это вообще блин значит     
123	1	1	2	0	0	0	0	0	   чудесный день   
124	1	0	2	0	0	0	0	0	в холодильнике шерлока        
125	1	0	6	0	0	0	1	0	пришла  сейчас быстро уроки делать  чтобы на молодежку успеть  
126	1	0	6	0	0	0	0	0	ебашу чаёк в пол  утра      ул  декабристов    
127	1	0	12	0	0	0	0	0	 вам должно быть пофиг на мнение учителей  главное что вы знаете как дело обстоит на самом деле и какие вы настоящие 
128	1	0	5	0	0	0	1	0	     пиздец до слез угараем  баба огонь  
