word,класс
ребята,1
окраина,1
спасибо,1
бегать,0
девочка,0
Вю,0
обслуживание,0
бейджик,0
кавказский,1
молодец,1
витражный,1
вкусно,1
организованный,1
клиент,0
атмосферный,1
официанка,0
подготовка,0
ненавязчивый,1
оформлять,0
выражать,1
соня,1
китайский,0
периодически,0
девушка,0
врубать,1
выступать,0
парень,0
администратор,0
благодарить,1
обычный,1
итальянский,0
хромать,1
топтаться,1
официант,0
четко,1
уединенный,1
музыка,0
петь,0
вежливо,1
громкий,1
супер,1
кофейня,0
объяснять,0
обалденный,1
quot оставлять,0
мексикан,0
играть,0
320р,0
басс,0
бармен,0
японский,0
персонал,0
купчино,0
хата,0
гауд,0
умничек,1
фоновый,1
менеджер,0
пепперони,0
суша бар,0
обслуживать,0
ачма,0
обстоятельно,1
доброжелательно,1
бейдж,0
отвечать,0
мероприятие,0
разнообразный,1
громко,1
манта,0
впечатление,0
разнообразие,1
коллектив,0
официантка,0
айс,1
сервис,0
стараться,0
эмоция,0
мильфей,0
приемлимый,1
пытаться,0
марципановый,0
сытно,0
грузинский,0
хостесса,0
узбекский,0
поблагодарить,0
тетка quot,1
выключать,0
разнообразно,1
подстреливать,0
свадебный,0
изменяться,0
вопрос,0
задавать,0
мальчик,0
разговаривать,0
воспоминание,0
управляющий,0
