note_id,#diary_id,#author_id,#note_date,#places
"39081",#"130",#"125",#"1945-10-24",#"барабинск->1"
"39082",#"130",#"125",#"1945-10-26",#"омск->1"
"39083",#"130",#"125",#"1945-10-27",#
"39084",#"130",#"125",#"1945-10-28",#"тюкалинск->1"
"39085",#"234",#"241",#"1933-01-15",#"калинин->1,нея->1,то->1,красный->1,ленинград->1,реж->1,кавказ->1,москва->3,сена->2"
"39061",#"130",#"125",#"1945-09-21",#"аршан->1"
"39062",#"130",#"125",#"1945-09-26",#
"39063",#"130",#"125",#"1945-10-06",#"военный городок->1"
"39064",#"130",#"125",#"1945-10-07",#
"39065",#"130",#"125",#"1945-10-08",#
"39066",#"130",#"125",#"1945-10-09",#
"39067",#"130",#"125",#"1945-10-10",#
"39068",#"130",#"125",#"1945-10-11",#
"39069",#"130",#"125",#"1945-10-12",#
"39070",#"130",#"125",#"1945-10-13",#"чита->1"
"39071",#"130",#"125",#"1945-10-14",#
"39072",#"130",#"125",#"1945-10-15",#
"39073",#"130",#"125",#"1945-10-16",#
"39074",#"130",#"125",#"1945-10-17",#"чита->1"
"39075",#"130",#"125",#"1945-10-18",#
"39076",#"130",#"125",#"1945-10-19",#"иркутск->1"
"39077",#"130",#"125",#"1945-10-20",#"удинск->1"
"39078",#"130",#"125",#"1945-10-21",#"канск->1"
"39079",#"130",#"125",#"1945-10-22",#"красноярск->1,ачинск->1"
"39080",#"130",#"125",#"1945-10-23",#"новосибирск->1"
"39052",#"130",#"125",#"1945-08-27",#
"39053",#"130",#"125",#"1945-08-28",#
"39054",#"130",#"125",#"1945-09-04",#"маньчжурия->1,город ванеймяо->1"
"39055",#"130",#"125",#"1945-09-08",#"город ванеймяо->2"
"39056",#"130",#"125",#"1945-09-09",#
"39057",#"130",#"125",#"1945-09-11",#"ванеймяо->1"
"39058",#"130",#"125",#"1945-09-12",#
"39059",#"130",#"125",#"1945-09-13",#
"39060",#"130",#"125",#"1945-09-20",#
"39042",#"130",#"125",#"1945-08-09",#"советско->1,япония->2"
"39043",#"130",#"125",#"1945-08-10",#
"39044",#"130",#"125",#"1945-08-11",#"япония->1"
"39045",#"130",#"125",#"1945-08-12",#
"39046",#"130",#"125",#"1945-08-12",#
"39047",#"130",#"125",#"1945-08-19",#"южная маньчжурия->1"
"39048",#"130",#"125",#"1945-08-20",#"монголия->1,маньчжурия->1,манджоу->1,япония->1"
"39049",#"130",#"125",#"1945-08-21",#
"39050",#"130",#"125",#"1945-08-23",#
