	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
0	Miss	Gov	-	C1	Verb	ж	FL	-	D	к	D
1	Miss	Gov	Transfer	B1	Verb	ж	FL	-	N	по	D
2	Miss	Constr	-	B2	place	ж	FL	-	N	в	L
3	Miss	Gov	-	A2	Verb	ж	FL	-	N	за	I
4	Subst	Gov	-	A1	Noun	ж	FL	с	L	в	L
5	Subst	Constr	-	A2	time	ж	FL	на	L	в	A
6	Subst	Constr	-	A2	time	ж	FL	на	L	в	A
7	Miss	Gov	-	A2	Noun	ж	FL	-	A	о	L
8	Miss	Constr	-	A2	time	ж	FL	-	L	в	L
9	Subst	Constr	-	A2	time	ж	FL	на	L	в	A
10	Subst	Constr	-	A2	time	м	FL	на	L	в	A
11	Miss	Gov	Transfer	B1	Noun	ж	FL	-	G	для	G
12	Miss	Gov	-	A2	Noun	ж	FL	-	L	в	L
13	Miss	Gov	-	A2	Noun	ж	FL	-	L	в	L
14	Extra	Gov	-	A2	Verb	м	FL	о	I	-	A anim
15	Miss	Gov	Transfer	A2	Verb	м	FL	-	N	на	L
16	Miss	Gov	Transfer	A2	Verb	м	FL	-	N	на	L
17	Miss	Gov	Transfer	A2	Verb	м	FL	-	N	на	L
18	Subst	Gov	-	A2	Noun	ж	FL	к	D	с	I
19	Extra	Gov	Transfer	B2	Adj	ж	FL	за	G	-	I
20	Subst	Gov	Transfer	B2	Noun	ж	FL	над	I	на	A
21	Subst	Gov	Fusion	B1	Verb	м	FL	-	A	о	L
22	Subst	Gov	-	A2	Verb	ж	FL	из	I	за	I
23	Subst	Gov	-	A2	Verb	ж	FL	из	G	за	I
24	Subst	Gov	-	A1	Verb	ж	FL	с	I	за	A
25	Miss	Constr	Transfer	B1	time	ж	FL	-	A	на	A
26	Subst	Constr	-	B1	place	ж	FL	на	L	в	L
27	Subst	Constr	Transfer	A2	purpose	ж	FL	для	V	-	Conj V
28	Subst	Gov	-	A1	Verb	м	FL	от	Adv	из	Adv
29	Miss	Gov	-	A1	Verb	м	FL	-	A	в	A
30	Miss	Gov	Fusion	A2	Verb	м	FL	-	A anim	с	I
31	Miss	Gov	-	A1	Noun	ж	FL	-	L	о	L
32	Miss	Gov	-	A2	Verb	ж	FL	-	L	на	L
33	Extra	Gov	Fusion	B1	Noun	ж	FL	о	L	-	G
34	Miss	Constr	-	B1	time	ж	FL	-	L	в	L
35	Subst	Constr	Transfer	A2	purpose	м	FL	для	V	-	Conj V
36	Subst	Gov	Fusion	A2	Verb	ж	FL	на	D	по	D
37	Subst	Gov	-	A2	Verb	ж	FL	из	G	на	A
38	Miss	Gov	-	B1	Verb	ж	FL	-	A	на	L
39	Miss	Gov	-	A2	Verb	ж	FL	-	L	на	L
40	Miss	Constr	Transfer	A1	time	ж	FL	-	N	в	A
41	Extra	Constr	Transfer	A1	time	м	FL	в	Adv	-	Adv
42	Miss	Gov	-	B2	Verb	м	FL	-	G	от	G
43	Extra	Gov	-	B2	Noun	ж	FL	в	L	-	G
44	Miss	Gov	-	B2	Verb	ж	FL	-	L	в	L
45	Extra	Constr	-	A2	time	ж	FL	в	Adv	-	Adv
46	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
47	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
48	Extra	Gov	-	A2	Verb	ж	FL	на	Adv	-	Adv
49	Extra	Gov	-	A2	Verb	ж	FL	с	G	-	I
50	Miss	Gov	-	A2	Noun	ж	FL	-	D	по	D
51	Miss	Gov	-	A2	Noun	ж	FL	-	D	по	D
52	Miss	Gov	-	A2	Noun	ж	FL	-	A	по	D
53	Miss	Gov	-	A2	Verb	ж	FL	-	D	на	L
54	Subst	Constr	-	A2	purpose	ж	FL	за	V	-	Conj V
55	Extra	Gov	-	A2	time	ж	FL	на	Adv	-	Adv
56	Miss	Gov	-	A2	time	ж	FL	-	A	в	L
57	Miss	Constr	-	A2	time	ж	FL	-	L	на	L
58	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
59	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
60	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
61	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
62	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
63	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
64	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
65	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
66	Miss	Constr	-	A1	time	м	FL	-	N	в	A
67	Miss	Constr	-	A1	time	м	FL	-	N	в	A
