	Gov_Constr	subst	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
0	Gov	not subst	-	C1	Verb	ж	FL	D	D
1	Gov	not subst	Transfer	B1	Verb	ж	FL	N	D
2	Constr	not subst	-	B2	place	ж	FL	N	L
3	Gov	not subst	-	A2	Verb	ж	FL	N	I
4	Gov	subst	-	A1	Noun	ж	FL	L	L
5	Constr	subst	-	A2	time	ж	FL	L	A
6	Constr	subst	-	A2	time	ж	FL	L	A
7	Gov	not subst	-	A2	Noun	ж	FL	A	L
8	Constr	not subst	-	A2	time	ж	FL	L	L
9	Constr	subst	-	A2	time	ж	FL	L	A
10	Constr	subst	-	A2	time	м	FL	L	A
11	Gov	not subst	Transfer	B1	Noun	ж	FL	G	G
12	Gov	not subst	-	A2	Noun	ж	FL	L	L
13	Gov	not subst	-	A2	Noun	ж	FL	L	L
14	Gov	not subst	-	A2	Verb	м	FL	I	A anim
15	Gov	not subst	Transfer	A2	Verb	м	FL	N	L
16	Gov	not subst	Transfer	A2	Verb	м	FL	N	L
17	Gov	not subst	Transfer	A2	Verb	м	FL	N	L
18	Gov	subst	-	A2	Noun	ж	FL	D	I
19	Gov	not subst	Transfer	B2	Adj	ж	FL	G	I
20	Gov	subst	Transfer	B2	Noun	ж	FL	I	A
21	Gov	subst	Fusion	B1	Verb	м	FL	A	L
22	Gov	subst	-	A2	Verb	ж	FL	I	I
23	Gov	subst	-	A2	Verb	ж	FL	G	I
24	Gov	subst	-	A1	Verb	ж	FL	I	A
25	Constr	not subst	Transfer	B1	time	ж	FL	A	A
26	Constr	subst	-	B1	place	ж	FL	L	L
27	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
28	Gov	subst	-	A1	Verb	м	FL	Adv	Adv
29	Gov	not subst	-	A1	Verb	м	FL	A	A
30	Gov	not subst	Fusion	A2	Verb	м	FL	A anim	I
31	Gov	not subst	-	A1	Noun	ж	FL	L	L
32	Gov	not subst	-	A2	Verb	ж	FL	L	L
33	Gov	not subst	Fusion	B1	Noun	ж	FL	L	G
34	Constr	not subst	-	B1	time	ж	FL	L	L
35	Constr	subst	Transfer	A2	purpose	м	FL	V	Conj V
36	Gov	subst	Fusion	A2	Verb	ж	FL	D	D
37	Gov	subst	-	A2	Verb	ж	FL	G	A
38	Gov	not subst	-	B1	Verb	ж	FL	A	L
39	Gov	not subst	-	A2	Verb	ж	FL	L	L
40	Constr	not subst	Transfer	A1	time	ж	FL	N	A
41	Constr	not subst	Transfer	A1	time	м	FL	Adv	Adv
42	Gov	not subst	-	B2	Verb	м	FL	G	G
43	Gov	not subst	-	B2	Noun	ж	FL	L	G
44	Gov	not subst	-	B2	Verb	ж	FL	L	L
45	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
46	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
47	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
48	Gov	not subst	-	A2	Verb	ж	FL	Adv	Adv
49	Gov	not subst	-	A2	Verb	ж	FL	G	I
50	Gov	not subst	-	A2	Noun	ж	FL	D	D
51	Gov	not subst	-	A2	Noun	ж	FL	D	D
52	Gov	not subst	-	A2	Noun	ж	FL	A	D
53	Gov	not subst	-	A2	Verb	ж	FL	D	L
54	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
55	Gov	not subst	-	A2	time	ж	FL	Adv	Adv
56	Gov	not subst	-	A2	time	ж	FL	A	L
57	Constr	not subst	-	A2	time	ж	FL	L	L
58	Constr	not subst	-	A1	time	ж	FL	N	A
59	Constr	not subst	-	A1	time	ж	FL	N	A
60	Constr	not subst	-	A1	time	ж	FL	N	A
61	Constr	not subst	-	A1	time	ж	FL	N	A
62	Constr	not subst	-	A1	time	ж	FL	N	A
63	Constr	not subst	-	A1	time	ж	FL	N	A
64	Constr	not subst	-	A1	time	ж	FL	N	A
65	Constr	not subst	-	A1	time	ж	FL	N	A
66	Constr	not subst	-	A1	time	м	FL	N	A
67	Constr	not subst	-	A1	time	м	FL	N	A
68	Constr	not subst	-	A1	time	м	FL	A	A
69	Gov	not subst	-	A1	time	м	FL	ADV	Adv
70	Constr	not subst	-	A1	time	ж	FL	N	A
71	Constr	not subst	-	A1	time	ж	FL	A	A
72	Constr	not subst	-	A1	time	ж	FL	N	A
73	Constr	not subst	-	A1	time	ж	FL	N	A
74	Constr	not subst	-	A1	time	ж	FL	N	A
75	Constr	not subst	-	A1	time	ж	FL	N	A
76	Constr	not subst	-	A1	time	ж	FL	N	A
77	Constr	not subst	-	A1	time	ж	FL	N	A
78	Constr	not subst	-	A1	time	ж	FL	N	A
79	Constr	not subst	-	A1	place	ж	FL	L	Adv
80	Constr	not subst	-	A1	place	м	FL	L	Adv
81	Constr	not subst	Transfer	A1	time	м	FL	Adv	Adv
82	Constr	not subst	-	A1	time	м	FL	Adv	Adv
83	Constr	not subst	-	A1	time	ж	FL	N	A
84	Constr	not subst	-	A1	time	ж	FL	N	A
85	Constr	not subst	-	A1	time	ж	FL	N	A
86	Constr	not subst	-	A1	time	ж	FL	N	A
87	Constr	not subst	-	A1	time	ж	FL	A	A
88	Constr	not subst	-	A1	time	ж	FL	Adv	Adv
89	Constr	not subst	-	A1	time	ж	FL	Adv	Adv
90	Constr	not subst	-	A1	time	м	FL	N	A
91	Constr	not subst	-	A1	time	м	FL	N	A
92	Constr	not subst	-	A1	time	м	FL	N	A
93	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
94	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
95	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
96	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
97	Constr	not subst	-	A2	time	ж	FL	Adv	Adv
98	Constr	subst	-	A2	place	ж	FL	L	L
99	Constr	not subst	-	A2	time	ж	FL	A	A
100	Gov	subst	-	A2	Verb	м	FL	L	D
101	Gov	not subst	-	B1	Verb	ж	FL	A	A
102	Gov	subst	-	A1	Verb	м	FL	L	L
103	Gov	subst	Transfer	A2	Noun	м	FL	G	G
104	Constr	subst	-	A2	time	ж	FL	L	L
105	Constr	subst	Fusion	A2	place	ж	FL	A	A
106	Gov	not subst	-	A2	time	ж	FL	A	A
107	Constr	not subst	Transfer	A2	time	ж	FL	A	A
108	Constr	subst	-	A2	place	ж	FL	A	A
109	Gov	not subst	Transfer	A2	Verb	ж	FL	A	L
110	Gov	not subst	-	B1	Verb	ж	FL	A	A
111	Constr	subst	Fusion	A2	time	ж	FL	L	L
112	Constr	not subst	Transfer	A2	time	ж	FL	Adv	Adv
113	Constr	not subst	Transfer	A2	time	ж	FL	Adv	Adv
114	Constr	not subst	Transfer	A2	time	ж	FL	Adv	Adv
115	Gov	subst	Transfer	A2	Verb	ж	FL	L	G
116	Gov	subst	-	A2	Verb	ж	FL	L	G
117	Constr	not subst	-	A2	Noun	ж	FL	G	G
118	Constr	subst	Fusion	A2	place	ж	FL	L	L
119	Gov	subst	Fusion	A2	Verb	ж	FL	A	A
120	Gov	subst	-	A1	Verb	ж	FL	D	D
121	Gov	not subst	-	A1	Verb	ж	FL	A	A
122	Gov	not subst	Transfer	A1	Verb	ж	FL	N	A anim
123	Gov	subst	-	A1	Verb	ж	FL	N	D
124	Gov	subst	-	A1	Verb	ж	FL	A	A
125	Gov	subst	-	A1	Verb	ж	FL	G	G
126	Gov	not subst	Transfer	A1	Verb	ж	FL	I	I
127	Gov	subst	-	A1	Verb	ж	FL	A	A
128	Gov	not subst	Transfer	A1	Verb	ж	FL	I	I
129	Gov	subst	-	A1	Verb	ж	FL	G	G
130	Gov	not subst	Transfer	A1	Verb	ж	FL	G	I
131	Gov	not subst	Fusion	B1	Verb	ж	FL	A anim	I
132	Gov	subst	-	A1	Verb	ж	FL	N	L
133	Gov	subst	-	A1	Verb	ж	FL	L	L
134	Gov	not subst	Transfer	A2	Verb	м	FL	Adv	Adv
135	Gov	not subst	Fusion	A1	Verb	ж	FL	D	A
136	Gov	not subst	-	A1	Noun	м	FL	N	L
137	Gov	subst	-	A1	Verb	м	FL	A	A
138	Gov	not subst	-	A1	Noun	ж	FL	N	L
139	Gov	subst	-	A1	Verb	ж	FL	L	L
140	Gov	not subst	-	A1	Noun	ж	FL	L	L
141	Gov	not subst	-	A1	Noun	ж	FL	G	A anim
142	Gov	not subst	-	A1	Verb	ж	FL	A anim	I
143	Gov	not subst	-	A1	Verb	ж	FL	N	I
144	Gov	not subst	-	A1	Verb	ж	FL	N	I
145	Gov	not subst	-	A1	Verb	ж	FL	A anim	I
